Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Price per week
DAY CARE CENTER,191222368,31ST DIST PTSA CREATIVE KIDS-SUPERIOR STREET,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,JENNY MEDINA,(818) 220-8182,9756 OSO AVE.,CHATSWORTH,CA,91311,LOS ANGELES,30,36,LICENSED,5/25/1989,,
DAY CARE CENTER,434411608,3D PRESCHOOL,"3D PRESCHOOL, INC.",MEENAKSHI GOKHALE,(408) 227-2840,5370 SNELL AVENUE,SAN JOSE,CA,95123,SANTA CLARA,7,102,LICENSED,4/27/2010,,
DAY CARE CENTER,493009805,4C'S APPLES AND BANANAS CDC,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,AMY MCINTYRE,(707) 541-1901,950 SEBASTOPOL ROAD,SANTA ROSA,CA,95407,SONOMA,1,24,LICENSED,10/1/2019,,
DAY CARE CENTER,483009805,4C'S APPLES AND BANANAS CDC,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,AMY MCINTYRE,(707) 544-3077,950 SEBASTOPOL ROAD,SANTA ROSA,CA,95407,SOLANO,1,24,PENDING,,,
DAY CARE CENTER,493008488,4C'S APPLES & BANANAS - SHEPPARD,COMMUNITY CHILD CARE COUNCIL OF SONOMA CO. 4CS INC,"VERA, MARLENE",(707) 544-3077,1931 BIWANA DRIVE,SANTA ROSA,CA,95407,SONOMA,1,24,CLOSED,8/9/2012,6/20/2016,
DAY CARE CENTER,434414421,4C'S CDC-MACSA,4C'S-COMMUNITY CHILDCARE COUNCIL OF SANTA CLARA CO,"CHAVEZ, MARCIA",(408) 464-9068,660 SINCLAIR DRIVE,SAN JOSE,CA,95116,SANTA CLARA,7,48,CLOSED,6/18/2015,2/18/2016,
DAY CARE CENTER,434408977,4C'S CHILD DEVELOPMENT CENTER,COMMUNITY CHID CARE COUNCIL OF SANTA CLARA COUNTY,CARMEN GUARNEROS,(408) 251-1110,1290 BAL HARBOR WAY,SAN JOSE,CA,95122,SANTA CLARA,7,23,CLOSED,4/28/2008,7/14/2016,
DAY CARE CENTER,434408923,4C'S CHILD DEVELOPMENT CENTER,COMM. CHILD CARE COUNCIL OF SANTA CLARA CO. INC.,DANESAH FULLER,(408) 207-9231,2055 SUMMERSIDE DRIVE,SAN JOSE,CA,95122,SANTA CLARA,7,45,CLOSED,4/11/2008,5/2/2016,
DAY CARE CENTER,493009003,4C'S HEALDSBURG CDC,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY-4C'S,TRACY WILLIAMS,(707) 544-3077,437 FIRST STREET,HEALDSBURG,CA,95448,SONOMA,1,32,CLOSED,4/20/2015,10/23/2015,
DAY CARE CENTER,490109269,4C'S HEALDSBURG CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE OF SONOMA COUNTY,"BARLOW,LORRAINE",(707) 433-2556,555 NORTH STREET,HEALDSBURG,CA,95448,SONOMA,1,40,CLOSED,7/7/1989,10/23/2015,
DAY CARE CENTER,434411582,4C CHILD DEVELOPMENT CENTER-CHECKERS,COMMUNITY CHILD CARE COUNCIL OF SANTA CLARA CO.,KEELY NGOC NGUYEN,(408) 240-0135,302 CHECKERS DRIVE,SAN JOSE,CA,95133,SANTA CLARA,7,60,CLOSED,1/4/2010,6/30/2017,
DAY CARE CENTER,434411979,4C EARLY LITERACY PROGRAM-NORTHSIDE,COMMUNITY CHILD CARE COUNCIL OF SANTA CLARA CO.INC,JUANA CASTILLO,(408) 487-0747,488 N 6TH STREET,SAN JOSE,CA,95112,SANTA CLARA,7,65,CLOSED,7/29/2010,6/30/2017,
DAY CARE CENTER,493009433,4CS APPLES AND BANANAS PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SAENZ, NEIRA",(707) 544-4074,953 SUNSET AVENUE,SANTA ROSA,CA,95407,SONOMA,1,48,LICENSED,1/5/2018,,
DAY CARE CENTER,493008487,4CS APPLES & BANANAS - ROSELAND,COMMUNITY CHILD CARE COUNCIL OF SONOMA CO. 4CS INC,"SAENZ, NEIRA",(707) 544-3077,950 SEBASTOPOL ROAD,SANTA ROSA,CA,95407,SONOMA,1,48,CLOSED,8/9/2012,1/4/2018,
DAY CARE CENTER,493009431,4CS BENNETT VALLEY,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"BERRY, JUDITH",(707) 978-5912,4580 BENNETT VIEW DRIVE,SANTA ROSA,CA,95404,SONOMA,1,45,LICENSED,1/22/2018,,
DAY CARE CENTER,493008615,4CS BENNETT VALLEY CHILD DEVELOPMENT CENTER,"COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY, 4CS","BERRY, JUDITH ANN",(707) 526-4504,2250 MESQUITE DRIVE,SANTA ROSA,CA,95405,SONOMA,1,40,CLOSED,6/17/2013,1/21/2018,
DAY CARE CENTER,493009258,4CS CLOVERDALE PRESCHOOL,4CS COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"MCINTYRE, AMY",(707) 894-9011,330 N. WASHINGTON STREET,CLOVERDALE,CA,95425,SONOMA,1,30,LICENSED,8/1/2016,,
DAY CARE CENTER,493008692,4CS FLOWERY PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SANFILIPPO, AMBER",(707) 935-4244,17600 SONOMA HWY.,SONOMA,CA,95476,SONOMA,1,24,LICENSED,10/21/2013,,
DAY CARE CENTER,493008727,4CS GOLD RIDGE PRESCHOOL,"CCCC OF SONOMA COUNTY, 4CS INC.","PFEIFER, ANDREA",(707) 586-1253,1455 GOLF COURSE DRIVE,ROHNERT PARK,CA,94928,SONOMA,1,71,LICENSED,1/8/2014,,
DAY CARE CENTER,493004931,4CS OLD ELM CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"DIAZ, ANDREA",(707) 782-0408,"305 W. PAYRAN STREET, STE #C",PETALUMA,CA,94952,SONOMA,1,42,LICENSED,4/14/2003,,
DAY CARE CENTER,493005826,4CS PAULIN CREEK CDC - PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"HINCHER, NATALIE",(707) 565-3420,2614 PAULIN DRIVE,SANTA ROSA,CA,95403,SONOMA,1,45,LICENSED,4/18/2005,,
DAY CARE CENTER,490109272,4CS PETALUMA CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"DUSEK, LINDA",(707) 763-4990,401 S MC DOWELL,PETALUMA,CA,94952,SONOMA,1,54,LICENSED,7/5/1989,,
DAY CARE CENTER,490109271,4CS SONOMA CHILD DEVELOPEMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,MARIA BURTON,(707) 996-3494,620 5TH STREET,SONOMA,CA,95476,SONOMA,1,48,LICENSED,7/7/1989,,
DAY CARE CENTER,493006901,4CS WILLOW CREEK STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SCHAEFER, PAULA",(707) 528-2813,2536 MARLOW ROAD,SANTA ROSA,CA,95403,SONOMA,1,24,LICENSED,8/24/2007,,
DAY CARE CENTER,493006190,4CS WINDSOR STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"DUNNE, DANA",(707) 836-7068,79 PLEASANT AVENUE,SANTA ROSA,CA,95403,SONOMA,1,40,LICENSED,4/7/2006,,
DAY CARE CENTER,493009259,4CS WRIGHT START PRESCHOOL,4CS COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"MCLNTYRE, AMY",(707) 544-3077,950 SOUTH WRIGHT ROAD,SANTA ROSA,CA,95407,SONOMA,1,48,CLOSED,,8/11/2016,
DAY CARE CENTER,493009430,4CS WRIGHT START PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,CORRIE PABROS,(707) 542-1813,950 SOUTH WRIGHT ROAD,SANTA ROSA,CA,95407,SONOMA,1,48,LICENSED,8/15/2017,,
DAY CARE CENTER,198017132,4TH STREET EARLY EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,IRENE SANTILLAN,(323) 266-4024,421 S. HILLVIEW AVENUE,LOS ANGELES,CA,90022,LOS ANGELES,33,144,LICENSED,6/27/2013,,
DAY CARE CENTER,434414617,5 STAARS AFTER SCHOOL,SUDHIR GULATI,SUDHIR GULATI,(408) 421-4363,400 FANYON STREET,MILPITAS,CA,95035,SANTA CLARA,52,30,CLOSED,12/31/2015,11/1/2016,
DAY CARE CENTER,434415153,7 MAGIC FLOWERS BILINGUAL MONTESSORI PRESCHOOL,7 MAGIC FLOWERS,LI-FAN MOCK,(408) 493-3574,1975 CAMBRIANNA DRIVE,SAN JOSE,CA,95124,SANTA CLARA,7,117,LICENSED,6/8/2017,,
DAY CARE CENTER,198001351,92ND & MAIE CHILD DEVELOPMENT CENTER,DREW CHILD DEVELOPMENT CORPORATION,GABRIELA GARCIA,(323) 249-0621,9200 MAIE AVE.,LOS ANGELES,CA,90002,LOS ANGELES,54,54,LICENSED,1/11/1996,,
DAY CARE CENTER,197416902,99TH STREET ELEMENTARY SCHOOL CSPP/HEAD START,LAUSD EARLY CHILDWOOD EDUCATION,"WILLIAMS, SHERRI D.",(323) 564-2677,"9900 S.WADSWORTH AVE.RMS 12,13",LOS ANGELES,CA,90002,LOS ANGELES,54,24,LICENSED,4/20/2010,,
DAY CARE CENTER,103801760,A BETTER CHOICE PRESCHOOL,A BETTER CHOICE PRESCHOOL,"DIXON, LEOME",(559) 227-5437,3225 E. GETTYSBURG AVENUE,FRESNO,CA,93726,FRESNO,4,48,LICENSED,4/12/2002,,
DAY CARE CENTER,192006441,A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,"A BRIGHT BEGINNING, INC.",DINA REED,(310) 673-4525,712 EAST MANCHESTER BOULEVARD,INGLEWOOD,CA,90301,LOS ANGELES,30,45,LICENSED,11/28/2001,,
DAY CARE CENTER,197411253,"A BRIGHT BEGINNING, INC.",FRANK PROCTOR,NICOLE THOMPSON,(310) 693-0700,503 S. PRAIRIE,INGLEWOOD,CA,90301,LOS ANGELES,30,36,LICENSED,2/3/2004,,
DAY CARE CENTER,197415672,"A BRIGHT BEGINNING, INC.","A BRIGHT BEGINNING, INC.",LILLIE LOYD,(323) 753-0043,2440 MANCHESTER BLVD.,INGLEWOOD,CA,90305,LOS ANGELES,30,98,LICENSED,9/5/2008,,
DAY CARE CENTER,393617409,A BRIGHT PROMISE PRESCHOOL,COMMUNITY OF HOPE COALITION,"ANDERSON, WILLIE L. DR.",(209) 922-9338,17270 GOLDEN VALLEY PARKWAY,LATHROP,CA,95330,SAN JOAQUIN,53,24,CLOSED,4/4/2013,10/29/2015,
DAY CARE CENTER,376600130,A BRIGHTER FUTURE PRESCHOOL & CDC,"A BRIGHTER FUTURE PRESCHOOL, INC.",DANIELLE ANUSKIEWICZ,(858) 794-9130,3422 TRIPP COURT,SAN DIEGO,CA,92121,SAN DIEGO,51,108,CLOSED,7/21/1995,1/10/2020,
DAY CARE CENTER,376700063,A CHILD'S CENTER OF WONDER & DISCOVERY,"A CHILD'S CENTER OF WONDER & DISCOVERY, INC.","WHITMORE, HARRIET",(619) 443-2696,9841 VINE STREET,LAKESIDE,CA,92040,SAN DIEGO,51,38,CLOSED,9/7/2004,6/30/2017,
DAY CARE CENTER,444408848,A CHILD'S CONNECTIONS,A CHILD'S CONNECTIONS LLC,MELODY ANN BARKER,(831) 335-1716,106 VINE HILL SCHOOL ROAD,SCOTTS VALLEY,CA,95066,SANTA CRUZ,7,45,CLOSED,12/7/2007,10/23/2016,
DAY CARE CENTER,191501760,A CHILD'S GARDEN SCHOOL,CHURCH OF OUR SAVIOUR,EVIE ESCATIOLA,(626) 282-2731,535 WEST ROSES ROAD,SAN GABRIEL,CA,91775,LOS ANGELES,33,97,LICENSED,9/11/1995,,
DAY CARE CENTER,360908836,A CHILD'S PLACE,VICTOR VALLEY CHRISTIAN CHURCH,"BONGIRNO, DONNA",(760) 949-8498,11223 11TH AVENUE,HESPERIA,CA,92345,SAN BERNARDINO,12,60,CLOSED,7/3/1989,9/6/2016,
DAY CARE CENTER,334819251,A CHILD'S PLACE AN EARLY EDUCATION CENTER,"BAUM, MARLA","BAUM, MARLA",(760) 325-5577,1542 N. PALM CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,9,14,CLOSED,10/5/2007,8/31/2018,
DAY CARE CENTER,334817217,A CHILD'S PLACE AN EARLY EDUCATION CENTER,"BAUM, MARLA","BAUM, MARLA",(760) 835-1586,1534 N. PALM CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,9,15,LICENSED,2/23/2006,,
DAY CARE CENTER,197410150,A CHILD'S PLACE GROWTH AND DEVELOPMENT CENTER,"SWAIN, SHERONIECE L.","SWAIN, SHERONIECE L.",(323) 815-1570,4415/4419 NORMANDIE AVENUE,"LOS ANGELES,",CA,90037,LOS ANGELES,54,30,LICENSED,6/9/2004,,
DAY CARE CENTER,304370800,"A CHILD'S PLACE LEARNING CENTER, INC.","A CHILD'S PLACE LEARNING CENTER, INC.","KASS, DARCIE M.",(949) 646-4318,1941 CHURCH STREET,COSTA MESA,CA,92627,ORANGE,6,48,LICENSED,7/16/2012,,
DAY CARE CENTER,304370300,A CHILD'S PLACE PRESCHOOL,"US-SRI LANKA ENTERPRISES, INC.","JAYASEKARA, ANOMA",(562) 690-4013,1601 WEST LA HABRA BLVD,LA HABRA,CA,90631,ORANGE,6,40,LICENSED,11/15/2006,,
DAY CARE CENTER,197419672,A CHILD'S PLACE SMART CITIZEN LEARNING ACADEMY,SHERONIECE SWAIN,AMADA NATIVIDAD,(323) 385-6482,1639 W VERNON AVENUE,LOS ANGELES,CA,90062,LOS ANGELES,54,25,INACTIVE,3/6/2015,,
DAY CARE CENTER,414002659,A CHILD'S WAY,"A CHILD'S WAY SCHOOLS, INC","PAULA YAGINUMA, DIRECTOR",(650) 697-4760,817 MURCHISON DRIVE,MILLBRAE,CA,94030,SAN MATEO,5,30,LICENSED,6/20/2012,,
DAY CARE CENTER,410503412,"A CHILD'S WAY, AN EARLY LEARNING CENTER","A CHILD'S WAY, AN EARLY LEARNING CENTER",LISA VELLA,(650) 342-3460,801 HOWARD AVENUE,BURLINGAME,CA,94010,SAN MATEO,5,37,LICENSED,9/5/1992,,
DAY CARE CENTER,376700273,A CHILDREN'S GARDEN - ENCINITAS,"A CHILDREN'S GARDEN, LLC","HORTON, CATHY",(760) 942-2327,2241 WHISPER WIND LANE,ENCINITAS,CA,92024,SAN DIEGO,51,42,LICENSED,8/1/2006,,
DAY CARE CENTER,376700272,A CHILDREN'S GARDEN - LEUCADIA,"A CHILDREN'S GARDEN, LLC",HEATHER ADDY CRIDER,(760) 436-5370,1421 BURGUNDY ROAD,ENCINITAS,CA,92024,SAN DIEGO,51,44,LICENSED,8/1/2006,,
DAY CARE CENTER,376700270,A CHILDREN'S GARDEN - VISTA,"A CHILDREN'S GARDEN, LLC",MICHELLE MCKIM,(760) 758-4960,152 GRAPEVINE ROAD,VISTA,CA,92083,SAN DIEGO,10,42,INACTIVE,8/1/2006,,
DAY CARE CENTER,376600157,A CREATIVE BEGINNING,"SHRYOCK, JAMES AND PAULETTE",HEIDI FLORES,(760) 945-0200,1701 N. SANTA FE AVENUE,VISTA,CA,92084,SAN DIEGO,10,30,LICENSED,6/26/1995,,
DAY CARE CENTER,483003110,A GARDEN OF CHILDREN (PRESCHOOL),DENISE MAHER,DENISE MAHER,(707) 745-1996,470 EAST O STREET,BENICIA,CA,94510,SOLANO,1,22,CLOSED,2/8/2000,1/30/2017,
DAY CARE CENTER,153808307,A GOOD TIME OUT,"SHERMAN, MELANIE/SHERMAN, KAREN","SHERMAN, MELANIE/KAREN",(661) 410-8463,"3400 CALLOWAY DRIVE, SUITE 501",BAKERSFIELD,CA,93312,KERN,4,31,LICENSED,10/20/2006,,
DAY CARE CENTER,198013605,A GR8T BEGINNING ACADEMY,LINDA JOHNSON,LORENZANA TARCILA,(310) 847-5511,319 & 321 E. CARSON STREET,CARSON,CA,90745,LOS ANGELES,54,75,LICENSED,12/28/2007,,
DAY CARE CENTER,198002315,A HIGHER LEARNING CDC CORPORATION,A HIGHER LEARNING CDC CORPORATION,"WIIILIAMS, VICKY B.",(310) 639-4708,3581 E. IMPERIAL HWY,LYNWOOD,CA,90262,LOS ANGELES,30,51,CLOSED,7/29/1996,9/1/2015,
DAY CARE CENTER,13417683,A JOYFUL NOISE LEARNING CENTER,COMMUNITY CHURCH OF HAYWARD,"NADAN, KAVISHA",(510) 782-8593,26555 GADING ROAD,HAYWARD,CA,94544,ALAMEDA,52,50,LICENSED,9/1/2004,,
DAY CARE CENTER,313622448,A KID'S LIFE (PS),"A KID'S LIFE, LLC","BENEDICT, SUZANNE",(916) 786-3660,307 SUTTER AVE,ROSEVILLE,CA,95678,PLACER,3,88,LICENSED,7/31/2018,,
DAY CARE CENTER,197417708,A KID'S PLACE,"SUMANDA, INC. DBA A KID'S PLACE",DANIEL QUEL,(310) 390-0401,12318 VENICE BLVD.,LOS ANGELES,CA,90066,LOS ANGELES,30,20,LICENSED,6/4/2013,,
DAY CARE CENTER,197417707,A KID'S PLACE,"SUMANDA, INC.DBA A KID'S PLACE",SUSAN B. LEONARD,(310) 390-0401,12312 VENICE BLVD.,LOS ANGELES,CA,90066,LOS ANGELES,30,20,LICENSED,6/4/2013,,
DAY CARE CENTER,197412575,A KID'S PLACE,"SUMANDA, INC. DBA A KID'S PLACE","SCHUMER, ADRIANNE",(310) 390-0401,12306 VENICE BOULEVARD,LOS ANGELES,CA,90066,LOS ANGELES,30,40,LICENSED,1/25/2006,,
DAY CARE CENTER,304370870,A KIDS PLACE,LEARNING SERVICES FOR KIDS INC.,"AVILA TORRES, MARICELA",(714) 626-0400,1180 SOUTH IDAHO ST. SUITE K,LA HABRA,CA,90631,ORANGE,6,40,LICENSED,9/23/2013,,
DAY CARE CENTER,197418101,"A LITTLE PATCH OF EARTH PRESCHOOL, INC.","SWIATEK, SALLY","SWIATEK, SALLY",(661) 753-9023,24436 VALLEY STREET,NEWHALL,CA,91321,LOS ANGELES,12,74,LICENSED,6/4/2012,,
DAY CARE CENTER,73405005,A LITTLE WORLD MONTESSORI ACADEMY,SAMUDRA DE ALWIS,SAMUDRA DE ALWIS,(510) 799-6361,355 PARKER AVE,RODEO,CA,94572,CONTRA COSTA,2,34,LICENSED,6/17/2005,,
DAY CARE CENTER,73406649,A LITTLE WORLD MONTESSORI SCHOOL,NADIKA DE ALWIS,HIKKADUWA DE ALWIS,(510) 412-2244,324 37TH ST,RICHMOND,CA,94805,CONTRA COSTA,2,55,LICENSED,7/30/2010,,
DAY CARE CENTER,197419197,A MOTHER GOOSE ACADEMY,"MARGULETA, VICTORIA","JOHNSON, ELIZABETH",(818) 980-0118,11849 BURBANK BLVD.,VALLEY VILLAGE,CA,91607,LOS ANGELES,30,41,LICENSED,2/3/2014,,
DAY CARE CENTER,197418825,A MOTHER GOOSE ACADEMY OF CHATSWORTH,"MARGULETA, VIKTORIA","MARGULETA, VIKTORIA",(818) 341-3288,10324 VARIEL AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,30,54,LICENSED,8/5/2013,,
DAY CARE CENTER,343617158,A NEW BEGINNING PRESCHOOL LEARNING CENTER,"WILLIAMS, NOVA","WILLIAMS, NOVA",(916) 967-7827,8540 MADISON AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,3,30,LICENSED,5/9/2013,,
DAY CARE CENTER,73408232,A NEW WORLD OF MONTESSORI,"A NEW WORLD OF MONTESSORI, LLC",HUMAIRA AHMED,(408) 813-5532,101 SONORA AVENUE,DANVILLE,CA,94526,CONTRA COSTA,2,30,LICENSED,5/31/2017,,
DAY CARE CENTER,93619848,A PLACE FOR ME PRESCHOOL & CHILDCARE,"TAYLOR, TIFFANY","TAYLOR, TIFFANY",(916) 293-8877,4400 SOUTH SHINGLE ROAD,SHINGLE SPRINGS,CA,95682,EL DORADO,3,26,CLOSED,7/9/2014,3/31/2017,
DAY CARE CENTER,283008506,A PLACE OF MY OWN,NAPA CHILD DEVELOPMENT CORPORATION,"COOK, NATALIE",(707) 224-8667,2590 FIRST STREET,NAPA,CA,94558,NAPA,1,52,LICENSED,8/16/2012,,
DAY CARE CENTER,376701110,A PLACE OF OUR OWN CDC,"A PLACE OF OUR OWN CDC, INC.",FELICIA PEOPLES,(760) 745-0115,1851 E. WASHINGTON AVENUE,ESCONDIDO,CA,92027,SAN DIEGO,10,42,LICENSED,10/31/2014,,
DAY CARE CENTER,376701314,A PLACE OF OUR OWN CDC & SCHOOL-AGE PROGRAM/ASH,A PLACE OF OUR OWN CHILD DEV. CENTE INCORP.,ERICA GONZALEZ,(760) 233-5669,120 N ASH STREET,ESCONDIDO,CA,92027,SAN DIEGO,10,90,LICENSED,9/21/2017,,
DAY CARE CENTER,376700703,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,"A PLACE OF OUR OWN CDC, INC","CRUZ, ROSARIO",(760) 737-8660,2355 E VALLEY PARKWAY,ESCONDIDO,CA,92027,SAN DIEGO,10,72,LICENSED,8/1/2010,,
DAY CARE CENTER,434400191,A PLACE TO GROW,"TERNIAN, FLANDA","TERNIAN, FLANDA",(408) 265-2994,3001 ROSS AVENUE,SAN JOSE,CA,95124,SANTA CLARA,7,27,CLOSED,10/16/1995,8/3/2015,
DAY CARE CENTER,434414567,A PLACE TO GROW,FLANDA T. TERNIAN,FLANDA TERNIAN,(408) 265-2594,4115 JACKSOL DRIVE BUILDING 2,SAN JOSE,CA,95124,SANTA CLARA,7,60,LICENSED,8/3/2015,,
DAY CARE CENTER,543808649,A PLACE TO GROW MONTESSORI,"A PLACE TO GROW MONTESSORI, LLC.","VEDENOFF,BLAIR/CLANCY,NINA",(559) 627-3535,3535 SOUTH AKERS,VISALIA,CA,93277,TULARE,4,146,LICENSED,10/29/2010,,
DAY CARE CENTER,197417542,"A PLACE TWO GROW, INC.","CARSON, RACHELLE","CARSON, RACHELLE",(323) 295-3114,3770 SANTA ROSALIA DRIVE,LOS ANGELES,CA,90008,LOS ANGELES,30,39,LICENSED,5/24/2011,,
DAY CARE CENTER,376700207,"A RISING STAR ACADEMY CHILDCARE CENTER, INC.",RISING STAR ACADEMY CHILDCARE CENTER,"ROBINSON, DANIELLE",(760) 439-3344,169 ROYMAR ROAD,OCEANSIDE,CA,92058,SAN DIEGO,10,68,LICENSED,9/22/2005,,
DAY CARE CENTER,490110022,A SPECIAL PLACE,YWCA OF SONOMA COUNTY,WENDY ADAMS,(707) 523-2337,1128 EDWARDS AVENUE,SANTA ROSA,CA,95401,SONOMA,1,30,LICENSED,10/1/1990,,
DAY CARE CENTER,430709865,A SPECIAL PLACE- STEVENS CREEK,ALLEN CHILD DEVELOPMENT,JOVITA GARZA,(408) 249-3809,5041 STEVENS CREEK BLVD.,SANTA CLARA,CA,95051,SANTA CLARA,7,42,CLOSED,6/10/1988,7/9/2019,
